mouse_strain;experiment_ID;sample_type;timepoint;mouse_ID;treatment;frequency_live_bacteria_%;experimental_day;counts_live_bacteria_per_wet_g;mouse_age_days;mouse_sex
NOD;AG6-222;fecal;treatment_start;ABX001;ABX;0.2;-7;2.05E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX002;placebo;58.05;-7;4.58E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX003;ABX;37.33;-7;4.32E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX004;placebo;92.96;-7;5.93E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX005;ABX;25.85;-7;1.64E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX006;placebo;52.93;-7;2.74E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX007;ABX;91.67;-7;6.68E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX008;placebo;22.5;-7;9.56E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX009;ABX;18.19;-7;6.41E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX010;placebo;80.21;-7;8.97E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX011;ABX;26.35;-7;1.24E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX012;placebo;39.04;-7;8.20E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX013;ABX;14.89;-7;9.63E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX014;placebo;12.61;-7;7.43E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX015;ABX;65.81;-7;2.18E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX016;placebo;80.08;-7;1.03E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX017;ABX;66.51;-7;1.16E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX018;placebo;72.57;-7;1.62E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX019;ABX;40.56;-7;3.39E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX020;placebo;99.17;-7;2.59E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX021;ABX;37.51;-7;1.06E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX022;placebo;39.53;-7;2.06E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX023;ABX;25.48;-7;6.73E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX024;placebo;13.69;-7;5.23E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX025;ABX;38.24;-7;3.64E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX026;placebo;94.88;-7;2.62E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX027;ABX;91.25;-7;1.62E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX028;placebo;37.03;-7;4.94E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX029;ABX;41.02;-7;7.24E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX030;placebo;91.05;-7;2.55E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX031;ABX;84.33;-7;1.86E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX032;placebo;29.86;-7;5.87E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX033;ABX;9.82;-7;7.20E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX034;placebo;81.38;-7;2.71E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX035;ABX;23.54;-7;1.66E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX036;placebo;9.07;-7;4.05E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX037;ABX;97.02;-7;1.58E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX038;placebo;55.76;-7;2.60E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX039;ABX;15.72;-7;3.89E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX040;placebo;18.89;-7;1.75E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX041;ABX;32.17;-7;4.59E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX042;placebo;96.01;-7;1.03E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX043;ABX;66.97;-7;2.36E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX044;placebo;72.12;-7;2.61E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX045;ABX;50.92;-7;2.45E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX046;placebo;81.62;-7;1.05E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX047;ABX;57.93;-7;2.68E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX048;placebo;15.35;-7;3.42E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX049;ABX;57.77;-7;1.03E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX050;placebo;65.57;-7;6.25E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX051;ABX;33.42;-7;3.97E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX052;placebo;74.28;-7;1.54E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX053;ABX;37.4;-7;2.76E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX054;placebo;84.26;-7;2.20E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX055;ABX;43.23;-7;1.15E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX056;placebo;6.66;-7;6.40E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX057;ABX;55.84;-7;9.09E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX058;placebo;88.18;-7;2.14E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX059;ABX;30.76;-7;3.42E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX060;placebo;48.02;-7;2.25E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX061;ABX;29.48;-7;9.22E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX062;placebo;11.38;-7;4.45E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX063;ABX;56.29;-7;5.79E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX064;placebo;80.92;-7;7.30E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX065;ABX;57.13;-7;1.61E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX066;placebo;44.25;-7;1.34E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX067;ABX;94.63;-7;1.52E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX068;placebo;39.98;-7;2.91E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX069;ABX;41.79;-7;4.61E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX070;placebo;3.9;-7;1.60E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX071;ABX;10.67;-7;3.89E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX072;placebo;64.44;-7;1.48E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX073;ABX;68.84;-7;1.62E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX074;placebo;25.21;-7;8.53E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX075;ABX;0.58;-7;8.28E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX076;placebo;11.51;-7;2.55E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX077;ABX;46.38;-7;2.19E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX078;placebo;24.82;-7;1.82E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX079;ABX;7.28;-7;6.44E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX080;placebo;48.4;-7;5.93E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX081;ABX;5.79;-7;2.57E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX082;placebo;98.76;-7;2.15E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX083;ABX;32.53;-7;3.57E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX084;placebo;46.07;-7;4.85E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX085;ABX;8.64;-7;8.08E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX086;placebo;53.2;-7;5.00E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX087;ABX;2.12;-7;1.06E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX088;placebo;69.4;-7;4.91E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX089;ABX;37.55;-7;1.47E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX090;placebo;38.39;-7;1.68E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX091;ABX;34.8;-7;6.43E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX092;placebo;34.77;-7;2.69E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX093;ABX;55.14;-7;3.54E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX094;placebo;3.98;-7;2.54E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX095;ABX;22.18;-7;3.27E+08;14;male
